range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.01,+,23,0.8439253260394954,0.849609375
"[1, 0.14, 0.14, 0.1]",0.01,+,24,0.8448439212067786,0.8519531488418579
"[1, 0.14, 0.14, 0.1]",0.01,+,25,0.8457295622873432,0.8534179925918579
"[1, 0.14, 0.14, 0.1]",0.01,+,26,0.8465245796294313,0.856249988079071
"[1, 0.14, 0.14, 0.1]",0.01,+,27,0.8473195969715195,0.8573242425918579
"[1, 0.14, 0.14, 0.1]",0.01,+,28,0.8480610639226898,0.859375
"[1, 0.14, 0.14, 0.1]",0.01,+,29,0.8487077878745438,0.862109363079071
"[1, 0.14, 0.14, 0.1]",0.01,+,30,0.849399823695636,0.858203113079071
"[1, 0.14, 0.14, 0.1]",0.01,+,31,0.8500918595167283,0.856152355670929
"[1, 0.14, 0.14, 0.1]",0.01,+,32,0.8507015101210239,0.85791015625
"[1, 0.14, 0.14, 0.1]",0.01,+,33,0.8513111607253194,0.8592773675918579
"[1, 0.14, 0.14, 0.1]",0.01,+,34,0.8519125728079353,0.8607422113418579
"[1, 0.14, 0.14, 0.1]",0.01,+,35,0.8524810308038325,0.8622070550918579
"[1, 0.14, 0.14, 0.1]",0.01,+,36,0.8530783236256086,0.861132800579071
"[1, 0.14, 0.14, 0.1]",0.01,+,37,0.8535602771438693,0.86279296875
"[1, 0.14, 0.14, 0.1]",0.01,+,38,0.8540793040096885,0.8623046875
"[1, 0.14, 0.14, 0.1]",0.01,+,39,0.8545694960496288,0.8626953363418579
"[1, 0.14, 0.14, 0.1]",0.01,+,40,0.8550349725245302,0.8638671636581421
"[1, 0.14, 0.14, 0.1]",0.01,+,41,0.8555581186511892,0.8614257574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,42,0.8561471729512856,0.8602539300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,43,0.856662080556265,0.8602539300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,44,0.8571728689004046,0.8594726324081421
"[1, 0.14, 0.14, 0.1]",0.01,+,45,0.8576960150270635,0.8626953363418579
"[1, 0.14, 0.14, 0.1]",0.01,+,46,0.8581985648495234,0.8641601800918579
"[1, 0.14, 0.14, 0.1]",0.01,+,47,0.8585981331509874,0.862597644329071
"[1, 0.14, 0.14, 0.1]",0.01,+,48,0.8590141784958107,0.8658202886581421
"[1, 0.14, 0.14, 0.1]",0.01,+,49,0.8595167283182705,0.8658202886581421
"[1, 0.14, 0.14, 0.1]",0.01,+,50,0.8599368929239337,0.8628906011581421
"[1, 0.14, 0.14, 0.1]",0.01,+,51,0.8604188464421945,0.8653320074081421
"[1, 0.14, 0.14, 0.1]",0.01,+,52,0.8607978184394592,0.8656250238418579
"[1, 0.14, 0.14, 0.1]",0.01,+,53,0.8611726711758843,0.864062488079071
"[1, 0.14, 0.14, 0.1]",0.01,+,54,0.8615804779990278,0.865429699420929
