range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.01,+,61,0.903992387605968,0.844433605670929
"[1, 0.14, 0.14, 0.1]",0.01,+,62,0.9041200846920029,0.845019519329071
"[1, 0.14, 0.14, 0.1]",0.01,+,63,0.9043013321689556,0.848339855670929
"[1, 0.14, 0.14, 0.1]",0.01,+,64,0.9044784603850685,0.8462890386581421
"[1, 0.14, 0.14, 0.1]",0.01,+,65,0.9046473500795017,0.8446289300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,66,0.9048038819914155,0.849414050579071
"[1, 0.14, 0.14, 0.1]",0.01,+,67,0.9048945057298918,0.8500000238418579
"[1, 0.14, 0.14, 0.1]",0.01,+,68,0.904989248729208,0.851757824420929
"[1, 0.14, 0.14, 0.1]",0.01,+,69,0.9051251843369226,0.853515625
"[1, 0.14, 0.14, 0.1]",0.01,+,70,0.9052281658579184,0.8555663824081421
"[1, 0.14, 0.14, 0.1]",0.01,+,71,0.9053311473789143,0.85791015625
"[1, 0.14, 0.14, 0.1]",0.01,+,72,0.905413532595711,0.8568359613418579
"[1, 0.14, 0.14, 0.1]",0.01,+,73,0.9055082755950272,0.857421875
"[1, 0.14, 0.14, 0.1]",0.01,+,74,0.9056318534202222,0.8553711175918579
"[1, 0.14, 0.14, 0.1]",0.01,+,75,0.9057430734628978,0.855175793170929
"[1, 0.14, 0.14, 0.1]",0.01,+,76,0.9058336972013742,0.854296863079071
"[1, 0.14, 0.14, 0.1]",0.01,+,77,0.9058666512880929,0.8563476800918579
"[1, 0.14, 0.14, 0.1]",0.01,+,78,0.9059737520699286,0.855175793170929
"[1, 0.14, 0.14, 0.1]",0.01,+,79,0.9060478987650455,0.855664074420929
"[1, 0.14, 0.14, 0.1]",0.01,+,80,0.9061508802860415,0.855761706829071
"[1, 0.14, 0.14, 0.1]",0.01,+,81,0.9062167884594788,0.8563476800918579
"[1, 0.14, 0.14, 0.1]",0.01,+,82,0.9062909351545959,0.8568359613418579
"[1, 0.14, 0.14, 0.1]",0.01,+,83,0.9063527240671934,0.856640636920929
"[1, 0.14, 0.14, 0.1]",0.01,+,84,0.9064309900231502,0.8560546636581421
"[1, 0.14, 0.14, 0.1]",0.01,+,85,0.9064804211532282,0.85693359375
"[1, 0.14, 0.14, 0.1]",0.01,+,86,0.9065463293266657,0.858593761920929
"[1, 0.14, 0.14, 0.1]",0.01,+,87,0.9065792834133843,0.85986328125
"[1, 0.14, 0.14, 0.1]",0.01,+,88,0.9066163567609428,0.860058605670929
"[1, 0.14, 0.14, 0.1]",0.01,+,89,0.9066657878910208,0.861523449420929
"[1, 0.14, 0.14, 0.1]",0.01,+,90,0.9067152190210989,0.8636718988418579
"[1, 0.14, 0.14, 0.1]",0.01,+,91,0.9067728886728565,0.8642578125
"[1, 0.14, 0.14, 0.1]",0.01,+,92,0.9068264390637744,0.8651367425918579
"[1, 0.14, 0.14, 0.1]",0.01,+,93,0.9068717509330125,0.865527331829071
"[1, 0.14, 0.14, 0.1]",0.01,+,94,0.9069170628022508,0.866503894329071
"[1, 0.14, 0.14, 0.1]",0.01,+,95,0.906962374671489,0.86572265625
"[1, 0.14, 0.14, 0.1]",0.01,+,96,0.9069953287582077,0.8656250238418579
"[1, 0.14, 0.14, 0.1]",0.01,+,97,0.9070529984099653,0.865039050579071
"[1, 0.14, 0.14, 0.1]",0.01,+,98,0.9070777139750044,0.864550769329071
