prune_rate,compression,epochs,top_5,top_1
0.05,0.02377189304260878,30,0.949023425579071,0.598828136920929
0.1,0.04736638389833242,30,0.9366210699081421,0.559374988079071
0.3,0.14047027706996096,30,0.946093738079071,0.587890625
0.4,0.18435312711673063,30,0.947460949420929,0.592578113079071
0.6,0.27410250620907656,30,0.948046863079071,0.581738293170929
0.8,0.36286810953778664,30,0.950390636920929,0.594433605670929
1.1,0.4922749411347289,30,0.9482421875,0.58154296875
1.3,0.572234945005322,30,0.95166015625,0.5899413824081421
1.5,0.6489371996258426,30,0.950488269329071,0.5948241949081421
1.7,0.7208818501435345,30,0.9458984136581421,0.577441394329071
1.8,0.7562655226913525,30,0.949999988079071,0.588085949420929
2.1,0.820307712156888,30,0.945605456829071,0.58056640625
2.2,0.836709350707996,30,0.9486328363418579,0.5703125
2.4,0.865803309357159,30,0.936230480670929,0.5477539300918579
2.6,0.8907525078218237,30,0.93505859375,0.5298827886581421
2.8,0.9105409153952844,30,0.927050769329071,0.5029296875
2.9,0.9194916620972164,30,0.921191394329071,0.4854492247104645
3.1,0.9350224171854337,30,0.905957043170929,0.4404296875
3.15,0.9385543334516014,30,0.8985351324081421,0.41376954317092896
3.12,0.9364416346805148,30,0.90576171875,0.4383789002895355
3.22,0.9436989968712706,30,0.8838866949081421,0.3970703184604645
3.29,0.948101796600329,30,0.849902331829071,0.3534179627895355
3.35,0.9516175853949618,30,0.842480480670929,0.3246093690395355
3.4,0.9541818533690288,30,0.8314453363418579,0.30195313692092896
3.45,0.9562784246685805,30,0.7206054925918579,0.1953125
3.5,0.9586330355126923,30,0.6641601324081421,0.1708984375
3.55,0.9609231364706641,30,0.647265613079071,0.16591796278953552
3.6,0.9631003451278909,30,0.6278320550918579,0.17021484673023224
3.65,0.9651807889559075,30,0.6190429925918579,0.15800781548023224
3.7,0.9668580459955488,30,0.570996105670929,0.14619140326976776
3.75,0.9686804502790053,30,0.533398449420929,0.13925781846046448
3.8,0.9703093249040415,30,0.515820324420929,0.14091797173023224
3.85,0.9716479050414476,30,0.507128894329071,0.12177734076976776
3.9,0.9734703093249041,30,0.502246081829071,0.0986328125
3.95,0.9748088894623101,30,0.5035156011581421,0.09843750298023224
4.0,0.9761958520143212,30,0.5030273199081421,0.09912109375
4.25,0.9815501725639454,30,0.5029296875,0.09912109375
4.5,0.9856949327484437,30,0.5029296875,0.09912109375
5.0,0.9908395961681128,30,0.5029296875,0.09912109375
6.0,0.9947585717511208,30,0.5029296875,0.09912109375
