prune_rate,compression,epochs,top_5,top_1
0.15,0.0608973325162081,30,0.954199194908142,0.602343738079071
0.44,0.1748863013256781,30,0.956250011920929,0.6064453125
0.9,0.3507886333580621,30,0.95947265625,0.6041015386581421
1.35,0.517707963745444,30,0.953906238079071,0.593066394329071
1.94,0.7112698771086668,30,0.951171875,0.5760742425918579
2.89,0.9128793987678612,30,0.916796863079071,0.4576171934604645
3.1,0.9336031996903524,30,0.907910168170929,0.427539050579071
3.5,0.9611166661290844,30,0.8377929925918579,0.318164050579071
4.0,0.9788407573460632,30,0.51806640625,0.1012695282697677
4.5,0.9882592007225108,30,0.5029296875,0.10205078125
5.0,0.9925007257362192,30,0.5029296875,0.10205078125
2.2,0.7862303648034061,30,0.951464831829071,0.5609375238418579
2.4,0.8369673902525562,30,0.9364258050918579,0.5238281488418579
2.6,0.8743831242137857,30,0.934863269329071,0.507128894329071
2.8,0.9021062477824726,30,0.92626953125,0.47333985567092896
