prune_rate,compression,epochs,top_5,top_1
0.1,0.0638809147501854,30,0.955859363079071,0.6112304925918579
0.3,0.1871915621068929,30,0.943457007408142,0.5831054449081421
0.6,0.3682708125020159,30,0.956640601158142,0.6014648675918579
0.9,0.5415282392026578,30,0.9541015625,0.59326171875
1.3,0.7484920814114763,30,0.953808605670929,0.585742175579071
1.92,0.9281521143115182,30,0.924511730670929,0.4762695431709289
1.95,0.9327806986420668,30,0.92236328125,0.4710937440395355
2.1,0.9507144469890012,30,0.909375011920929,0.425585925579071
2.2,0.9599877431216334,30,0.895214855670929,0.3900390565395355
2.25,0.9636325516885462,30,0.8765624761581421,0.3643554747104645
2.35,0.9698255007579912,30,0.8421875238418579,0.3232421875
2.4,0.9724381511466632,30,0.7964843511581421,0.2772460877895355
2.5,0.9770183530626068,30,0.7837890386581421,0.2508789002895355
2.7,0.9838564009934524,30,0.6044921875,0.1797851622104644
2.9,0.9886785149824212,30,0.509765625,0.10205078125
4.0,0.9955004354417314,30,0.5,0.10205078125
1.4,0.7915363029384254,30,0.9522460699081421,0.57666015625
1.5,0.8324194432796826,30,0.9541015625,0.5741211175918579
1.6,0.863384188626907,30,0.946093738079071,0.5533202886581421
1.7,0.8883333870915718,30,0.932910144329071,0.502148449420929
1.8,0.9078960100635423,30,0.931640625,0.49482423067092896
1.9,0.9250717672483308,30,0.92529296875,0.48554688692092896
