prune_rate,compression,epochs,top_5,top_1
0.1,0.06817082217849886,30,0.9476562738418579,0.5941406488418579
0.3,0.19820662516530657,30,0.947070300579071,0.5874999761581421
0.4,0.26223268715930714,30,0.9462890625,0.589648425579071
0.6,0.3897848595297229,30,0.94921875,0.58447265625
0.9,0.5720414153469019,30,0.9493163824081421,0.5829101800918579
1.1,0.6814824371834983,30,0.951367199420929,0.587597668170929
1.3,0.781085701383737,30,0.94921875,0.5821288824081421
1.4,0.811389220398026,30,0.94970703125,0.580859363079071
1.5,0.8350804760829598,30,0.948535144329071,0.574902355670929
1.6,0.8563364835661065,30,0.946582019329071,0.565136730670929
1.7,0.8754797922781666,30,0.943652331829071,0.5528320074081421
1.8,0.8926716769344902,30,0.937207043170929,0.53466796875
1.9,0.9065251749830662,30,0.932324230670929,0.5137695074081421
1.92,0.9091539528432733,30,0.9330078363418579,0.5137695074081421
1.95,0.9132342031416315,30,0.927539050579071,0.4974609315395355
2.1,0.9312324613747057,30,0.914355456829071,0.44970703125
2.2,0.9406831596942231,30,0.900585949420929,0.42167967557907104
2.25,0.9453762539109118,30,0.8770507574081421,0.3812499940395355
2.35,0.9534238622068832,30,0.8133789300918579,0.30341798067092896
2.4,0.956988033416121,30,0.79052734375,0.27197265625
2.6,0.9683095184337,30,0.525390625,0.13437500596046448
2.8,0.9766151662742315,30,0.49433594942092896,0.09912109375
2.9,0.979679385865884,30,0.4951171875,0.09912109375
3.1,0.984791794342483,30,0.5029296875,0.09912109375
3.15,0.9855014030900235,30,0.49853515625,0.09912109375
3.12,0.9850014514724381,30,0.49853515625,0.09912109375
3.22,0.9869367480566397,30,0.49853515625,0.09912109375
3.29,0.9881140534786956,30,0.49853515625,0.09912109375
3.35,0.9888720446408412,30,0.5029296875,0.09912109375
3.4,0.9896784182175918,30,0.5029296875,0.09912109375
3.45,0.9900170951198272,30,0.5029296875,0.09912109375
3.5,0.9905331742089475,30,0.49853515625,0.09912109375
3.55,0.9909524884688579,30,0.49853515625,0.09912109375
3.6,0.9914685675579783,30,0.5,0.09912109375
3.65,0.9919362642324936,30,0.49853515625,0.09912109375
3.7,0.992323323549334,30,0.49560546875,0.09912109375
3.75,0.9926136180369641,30,0.5029296875,0.09912109375
3.8,0.9929522949391995,30,0.5029296875,0.09912109375
3.85,0.9932264619552946,30,0.49853515625,0.09912109375
3.9,0.9934845014998549,30,0.5029296875,0.09912109375
3.95,0.993678031158275,30,0.49853515625,0.09912109375
4.0,0.9939199432313002,30,0.49560546875,0.09912109375
4.25,0.9947101893365158,30,0.5029296875,0.09912109375
4.5,0.9952746508402412,30,0.49853515625,0.09912109375
5.0,0.9958713672870367,30,0.49853515625,0.09912109375
6.0,0.9961616617746669,30,0.5,0.09912109375
