prune_rate,compression,epochs,top_5,top_1
0.1,0.0372834298613456,30,0.99658203125,0.87939453125
0.3,0.1103755942033761,30,0.996972680091858,0.8809570074081421
0.4,0.1470576119821059,30,0.996679663658142,0.861621081829071
0.8,0.2921173824568919,30,0.997265636920929,0.87109375
1.1,0.4002150254158393,30,0.996777355670929,0.87158203125
1.3,0.471432926075745,30,0.996679663658142,0.875
1.5,0.5416004152214926,30,0.996484398841858,0.8798828125
1.7,0.6097288702515221,30,0.996484398841858,0.8779296875
1.8,0.6429836630115092,30,0.996679663658142,0.8724609613418579
2.1,0.7377225430668721,30,0.996191382408142,0.876757800579071
2.4,0.8232878292319227,30,0.996191382408142,0.872363269329071
2.9,0.9174994438997868,30,0.995898425579071,0.87060546875
3.1,0.937823876883532,30,0.995507836341858,0.868945300579071
3.15,0.9418895873324492,30,0.993554711341858,0.865234375
3.12,0.9394757004803058,30,0.994921863079071,0.865234375
3.22,0.94735584646691,30,0.993066430091858,0.862988293170929
3.29,0.9522412898229542,30,0.992968738079071,0.861621081829071
3.35,0.9559609823613252,30,0.992578148841858,0.860644519329071
3.4,0.9589721620352444,30,0.992382824420929,0.860156238079071
3.45,0.9619050757532068,30,0.99169921875,0.843554675579071
3.5,0.9643931093004672,30,0.991406261920929,0.8394531011581421
3.55,0.9666957761099348,30,0.991601586341858,0.839550793170929
3.6,0.9688913421375668,30,0.991503894329071,0.8377929925918579
3.65,0.9709221377316054,30,0.98974609375,0.77001953125
3.7,0.97280875919625,30,0.989550769329071,0.765332043170929
3.75,0.9746830228783748,30,0.98974609375,0.763671875
3.8,0.9763142501709492,30,0.99072265625,0.7607421875
3.85,0.9778672115075672,30,0.989941418170929,0.759960949420929
3.9,0.9793542646707476,30,0.989941418170929,0.7567383050918579
3.95,0.9806724281394946,30,0.990039050579071,0.7569335699081421
4.0,0.9818505367396876,30,0.989453136920929,0.7554687261581421
4.25,0.9867565763999308,30,0.985058605670929,0.60693359375
4.5,0.98977187533469,30,0.9365234375,0.431445300579071
5.0,0.9938005124360484,30,0.880078136920929,0.434863269329071
6.0,0.9969517469785222,30,0.5,0.09765625
4.51,0.9898789761165256,30,0.8817383050918579,0.503222644329071
4.53,0.9900684621151581,30,0.882519543170929,0.5029296875
4.55,0.9902703058963099,30,0.880566418170929,0.4991210997104645
4.57,0.9905009845033407,30,0.8846679925918579,0.49951171875
5.01,0.9938581820878062,30,0.82958984375,0.4458984434604645
5.03,0.9939652828696419,30,0.87890625,0.447265625
5.05,0.9940476680864385,30,0.826464831829071,0.4471679627895355
5.07,0.9941424110857547,30,0.8246093988418579,0.44775390625
5.1,0.9943071815193482,30,0.8345702886581421,0.4385742247104645
5.3,0.9951021988614362,30,0.6474609375,0.28291016817092896
5.5,0.9958189502475676,30,0.59423828125,0.1875
5.7,0.9963173808091876,30,0.59423828125,0.18437500298023224
5.9,0.9967210683714914,30,0.593945324420929,0.18496093153953552
5.9,0.9967210683714914,30,0.593945324420929,0.18486328423023224
