range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1709,0.990673993,0.624707043
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1710,0.990673993,0.625390649
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1711,0.990678113,0.623925805
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1712,0.990678113,0.625
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1713,0.990678113,0.624707043
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1714,0.990682232,0.62412107
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1715,0.990682232,0.620996118
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1716,0.990686351,0.621777356
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1717,0.990686351,0.623828113
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1718,0.990686351,0.627246082
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1719,0.990690471,0.626757801
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1720,0.990690471,0.626464844
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1721,0.990690471,0.62587893
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1722,0.990690471,0.626855493
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1723,0.990690471,0.625292957
"[0.9995, 0.9995, 0.9995, 0.9994]",0.32,+,1724,0.990690471,0.624218762
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1725,0.991477249,0.593261719
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1726,0.99152668,0.601367176
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1727,0.99152668,0.607226551
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1728,0.9915308,0.609277368
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1729,0.9915308,0.616406262
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1730,0.991534919,0.6171875
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1731,0.991539038,0.619238257
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1732,0.991539038,0.620410144
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1733,0.991543157,0.615820289
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1734,0.991543157,0.615625024
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1735,0.991543157,0.619726539
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1736,0.991547277,0.62197268
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1737,0.991547277,0.619335949
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1738,0.991547277,0.619042993
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1739,0.991547277,0.620410144
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1740,0.991547277,0.618945301
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1741,0.991547277,0.619335949
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1742,0.991547277,0.617089868
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1743,0.991547277,0.618847668
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1744,0.991547277,0.616699219
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1745,0.991547277,0.619921863
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1746,0.991547277,0.619433582
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1747,0.991547277,0.617285132
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1748,0.991547277,0.620996118
"[0.9995, 0.9995, 0.9995, 0.9994]",0.36,+,1749,0.991547277,0.616406262
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1750,0.991860341,0.589648426
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1751,0.991860341,0.594531238
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1752,0.991860341,0.603417993
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1753,0.99186446,0.604101539
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1754,0.99186446,0.608398438
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1755,0.99186446,0.611328125
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1756,0.99186446,0.612011731
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1757,0.99186446,0.614062488
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1758,0.99186446,0.611718774
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1759,0.991868579,0.610742211
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1760,0.991868579,0.609179676
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1761,0.991868579,0.603417993
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1762,0.991868579,0.60849607
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1763,0.991868579,0.611132801
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1764,0.991868579,0.61025393
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1765,0.991872698,0.60244143
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1766,0.991872698,0.602050781
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1767,0.991872698,0.604199231
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1768,0.991872698,0.602148414
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1769,0.991872698,0.607324243
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1770,0.991872698,0.607421875
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1771,0.991872698,0.60244143
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1772,0.991872698,0.599414051
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1773,0.991872698,0.601953149
"[0.9995, 0.9995, 0.9995, 0.9994]",0.4,+,1774,0.991872698,0.598632813
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1775,0.992132212,0.599121094
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1776,0.992132212,0.599902332
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1777,0.992132212,0.595996082
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1778,0.992136331,0.606835961
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1779,0.992136331,0.60634768
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1780,0.992136331,0.605566382
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1781,0.992136331,0.60458982
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1782,0.992136331,0.604882836
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1783,0.992136331,0.60244143
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1784,0.992136331,0.606542945
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1785,0.99214045,0.60634768
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1786,0.99214045,0.606835961
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1787,0.99214457,0.603320301
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1788,0.99214457,0.603808582
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1789,0.99214457,0.604296863
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1790,0.992148689,0.600878894
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1791,0.992148689,0.607421875
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1792,0.992148689,0.610546887
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1793,0.992148689,0.607031226
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1794,0.992148689,0.622460961
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1795,0.992148689,0.617285132
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1796,0.992148689,0.619921863
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1797,0.992148689,0.614746094
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1798,0.992148689,0.609863281
"[0.9995, 0.9995, 0.9995, 0.9994]",0.48,+,1799,0.992148689,0.606152356
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1800,0.992136331,0.601660132
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1801,0.992136331,0.60546875
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1802,0.992136331,0.609082043
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1803,0.992136331,0.606933594
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1804,0.992136331,0.601074219
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1805,0.992136331,0.600488305
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1806,0.99214045,0.600781262
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1807,0.99214045,0.603906274
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1808,0.99214045,0.603417993
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1809,0.992148689,0.604492188
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1810,0.992148689,0.603515625
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1811,0.992148689,0.605175793
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1812,0.992148689,0.603906274
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1813,0.992148689,0.603222668
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1814,0.992148689,0.601269543
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1815,0.992152808,0.595898449
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1816,0.992152808,0.597070336
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1817,0.992152808,0.597753882
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1818,0.992152808,0.600390613
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1819,0.992152808,0.597070336
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1820,0.992156927,0.596289039
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1821,0.992156927,0.597363293
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1822,0.992156927,0.595605493
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1823,0.992156927,0.593359351
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1824,0.992156927,0.597363293
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1825,0.992156927,0.597558618
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1826,0.992156927,0.598046899
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1827,0.992156927,0.599414051
"[0.9995, 0.9995, 0.9995, 0.9994]",0.49,+,1828,0.992156927,0.601074219
