prune_rate,compression,epochs,val_top_5,val_top_1
4.1,0.9957448035524504,30,0.951855480670929,0.516796886920929
4.2,0.9957777576391692,30,0.941699206829071,0.5316406488418579
4.4,0.995806592465048,30,0.943066418170929,0.53759765625
4.6,0.9958642621168058,30,0.87060546875,0.4463867247104645
4.8,0.9958807391601652,30,0.8705078363418579,0.4375976622104645
4.9,0.9958972162035244,30,0.927929699420929,0.3883789181709289
5.1,0.995934289551083,30,0.798144519329071,0.3218750059604645
5.2,0.9959507665944424,30,0.799023449420929,0.349414050579071
5.3,0.9959672436378016,30,0.8031250238418579,0.3511718809604645
5.4,0.9959713628986416,30,0.8697265386581421,0.362109363079071
5.5,0.9959796014203212,30,0.863476574420929,0.321093738079071
5.6,0.9959960784636804,30,0.8028320074081421,0.3498046994209289
5.9,0.9960413903329186,30,0.865234375,0.312792956829071
6.1,0.996061986637118,30,0.869335949420929,0.24267578125
6.2,0.9960661058979576,30,0.8558593988418579,0.3038085997104645
6.3,0.9960784636804773,30,0.7279297113418579,0.3104492127895355
6.4,0.9960908214629968,30,0.729687511920929,0.3107421994209289
6.5,0.9961031792455162,30,0.6646484136581421,0.279101550579071
6.6,0.9961155370280356,30,0.624707043170929,0.1399414092302322
6.7,0.9961278948105552,30,0.529101550579071,0.1012695282697677
6.8,0.9961361333322348,30,0.506054699420929,0.1703124940395355
6.9,0.996156729636434,30,0.530566394329071,0.0994140654802322
7.1,0.996181445201473,30,0.497363269329071,0.1053710952401161
7.2,0.9961938029839924,30,0.4989257752895355,0.1064453125
7.3,0.9961938029839924,30,0.4989257752895355,0.1064453125
7.4,0.9961979222448324,30,0.5263671875,0.1050781235098838
7.5,0.9962226378098714,30,0.5760742425918579,0.1695312559604644
7.6,0.9962391148532308,30,0.4989257752895355,0.1064453125
7.7,0.99625559189659,30,0.4972656369209289,0.1051757782697677
7.8,0.9962638304182696,30,0.5440429449081421,0.1706054657697677
7.9,0.9962761882007892,30,0.528027355670929,0.1067382842302322
8.1,0.9962967845049884,30,0.50439453125,0.10205078125
8.2,0.9963009037658282,30,0.50439453125,0.10205078125
8.3,0.9963132615483478,30,0.50439453125,0.10205078125
8.4,0.9963297385917071,30,0.50439453125,0.10205078125
8.5,0.9963379771133868,30,0.50439453125,0.10205078125
8.6,0.9963420963742267,30,0.50439453125,0.10205078125
8.7,0.9963544541567461,30,0.50439453125,0.10205078125
8.8,0.9963626926784258,30,0.50439453125,0.10205078125
8.9,0.9963668119392656,30,0.50439453125,0.10205078125
