range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[0.81, 0.81, 0.81, 0.71]",0.16,+,58,0.989644178248655,0.3045898377895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,59,0.989644178248655,0.302539050579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,60,0.989644178248655,0.3031249940395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,61,0.989644178248655,0.3019531369209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,62,0.989644178248655,0.2984375059604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,63,0.989644178248655,0.3004882931709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,64,0.989644178248655,0.3017578125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,65,0.989644178248655,0.3006835877895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,66,0.989644178248655,0.291308581829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,67,0.989644178248655,0.2900390625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,68,0.989644178248655,0.288867175579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,69,0.989644178248655,0.2982421815395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,70,0.9896482975094948,0.2953124940395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,71,0.9896482975094948,0.2919921875
"[0.81, 0.81, 0.81, 0.71]",0.16,+,72,0.9896482975094948,0.292285144329071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,73,0.9896482975094948,0.2984375059604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,74,0.9896482975094948,0.2997070252895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,75,0.9896482975094948,0.3001953065395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,76,0.9896482975094948,0.3042968809604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,77,0.9896482975094948,0.30908203125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,78,0.9896482975094948,0.305957019329071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,79,0.9896482975094948,0.3021484315395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,80,0.9896482975094948,0.2999023497104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,81,0.9896482975094948,0.3115234375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,82,0.9896482975094948,0.2900390625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,83,0.9896482975094948,0.2863281369209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,84,0.9896482975094948,0.2828125059604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,85,0.9896482975094948,0.2877929806709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,86,0.9896482975094948,0.2899414002895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,87,0.9896482975094948,0.2923828065395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,88,0.9896482975094948,0.2852539122104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,89,0.9896482975094948,0.29150390625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,90,0.9896482975094948,0.2958984375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,91,0.9896482975094948,0.2965820431709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,92,0.9896482975094948,0.2951171994209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,93,0.9896482975094948,0.3039062619209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,94,0.9896482975094948,0.309374988079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,95,0.9896482975094948,0.3116210997104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,96,0.9896482975094948,0.3150390684604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,97,0.9896482975094948,0.326464831829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,98,0.9896482975094948,0.3233398497104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,99,0.9896482975094948,0.33740234375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,100,0.9896482975094948,0.3490234315395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,101,0.9896524167703348,0.3418945372104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,102,0.9896524167703348,0.3485351502895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,103,0.9896524167703348,0.3497070372104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,104,0.9896524167703348,0.3473632931709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,105,0.9896524167703348,0.3497070372104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,106,0.9896524167703348,0.35205078125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,107,0.9896524167703348,0.3534179627895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,108,0.9896524167703348,0.3625000119209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,109,0.9896524167703348,0.36376953125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,110,0.9896524167703348,0.3692382872104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,111,0.9896524167703348,0.3651367127895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,112,0.9896524167703348,0.3610351681709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,113,0.9896524167703348,0.3634765744209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,114,0.9896524167703348,0.3583984375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,115,0.9896524167703348,0.3620117306709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,116,0.9896524167703348,0.3649414181709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,117,0.9896524167703348,0.3746093809604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,118,0.9896524167703348,0.407519519329071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,119,0.9896524167703348,0.396777331829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,120,0.9896524167703348,0.3896484375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,121,0.9896524167703348,0.3809570372104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,122,0.9896524167703348,0.3750976622104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,123,0.9896524167703348,0.3758789002895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,124,0.9896524167703348,0.3656249940395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,125,0.9896524167703348,0.3790039122104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,126,0.9896524167703348,0.381640613079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,127,0.9896524167703348,0.3814453184604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,128,0.9896524167703348,0.384765625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,129,0.9896524167703348,0.3849609494209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,130,0.9896524167703348,0.383593738079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,131,0.9896524167703348,0.383593738079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,132,0.9896524167703348,0.3849609494209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,133,0.9896524167703348,0.393847644329071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,134,0.9896524167703348,0.3876953125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,135,0.9896524167703348,0.387011706829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,136,0.9896524167703348,0.3829101622104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,137,0.9896524167703348,0.38427734375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,138,0.9896524167703348,0.39208984375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,139,0.9896524167703348,0.3915039002895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,140,0.9896524167703348,0.390625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,141,0.9896524167703348,0.3993164002895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,142,0.9896524167703348,0.400195300579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,143,0.9896524167703348,0.39794921875
"[0.81, 0.81, 0.81, 0.71]",0.16,+,144,0.9896524167703348,0.398242175579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,145,0.9896524167703348,0.3986328244209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,146,0.9896524167703348,0.4032226502895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,147,0.9896524167703348,0.4120117127895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,148,0.9896524167703348,0.4053710997104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,149,0.9896524167703348,0.412109375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,150,0.9896524167703348,0.4048828184604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,151,0.9896524167703348,0.4059570431709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,152,0.9896524167703348,0.4244140684604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,153,0.9896524167703348,0.4240234494209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,154,0.9896524167703348,0.4232421815395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,155,0.9896524167703348,0.4245117306709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,156,0.9896524167703348,0.42333984375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,157,0.9896524167703348,0.4183593690395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,158,0.9896524167703348,0.4227539002895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,159,0.9896524167703348,0.419726550579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,160,0.9896524167703348,0.4224609434604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,161,0.9896524167703348,0.4168945252895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,162,0.9896524167703348,0.4229492247104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,163,0.9896524167703348,0.4254882931709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,164,0.9896524167703348,0.43212890625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,165,0.9896524167703348,0.4297851622104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,166,0.9896524167703348,0.4310546815395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,167,0.9896524167703348,0.4337890744209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,168,0.9896524167703348,0.4517578184604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,169,0.9896524167703348,0.4453125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,170,0.9896524167703348,0.4437499940395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,171,0.9896524167703348,0.4551757872104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,172,0.9896524167703348,0.46435546875
"[0.81, 0.81, 0.81, 0.71]",0.16,+,173,0.9896524167703348,0.4712890684604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,174,0.9896524167703348,0.4738281369209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,175,0.9896524167703348,0.46630859375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,176,0.9896524167703348,0.475390613079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,177,0.9896524167703348,0.482421875
"[0.81, 0.81, 0.81, 0.71]",0.16,+,178,0.9896524167703348,0.4813476502895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,179,0.9896524167703348,0.4844726622104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,180,0.9896524167703348,0.4810546934604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,181,0.9896524167703348,0.487109363079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,182,0.9896524167703348,0.486621081829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,183,0.9896524167703348,0.4854492247104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,184,0.9896524167703348,0.4857421815395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,185,0.9896524167703348,0.4927734434604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,186,0.9896524167703348,0.4930664002895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,187,0.9896524167703348,0.4962890744209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,188,0.9896524167703348,0.4966796934604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,189,0.9896524167703348,0.4908203184604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,190,0.9896524167703348,0.4938476681709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,191,0.9896524167703348,0.4943359494209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,192,0.9896524167703348,0.4964843690395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,193,0.9896524167703348,0.503125011920929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,194,0.9896524167703348,0.4992187619209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,195,0.9896524167703348,0.499804675579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,196,0.9896524167703348,0.504687488079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,197,0.9896524167703348,0.5064452886581421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,198,0.9896524167703348,0.502734363079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,199,0.9896524167703348,0.507617175579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,200,0.9896524167703348,0.508105456829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,201,0.9896524167703348,0.505664050579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,202,0.9896524167703348,0.5
"[0.81, 0.81, 0.81, 0.71]",0.16,+,203,0.9896524167703348,0.504101574420929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,204,0.9896524167703348,0.505078136920929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,205,0.9896524167703348,0.5082031488418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,206,0.9896524167703348,0.5067383050918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,207,0.9896524167703348,0.502148449420929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,208,0.9896524167703348,0.50146484375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,209,0.9896524167703348,0.505175769329071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,210,0.9896524167703348,0.5018554925918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,211,0.9896524167703348,0.503125011920929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,212,0.9896524167703348,0.503125011920929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,213,0.9896524167703348,0.5010741949081421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,214,0.9896524167703348,0.501953125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,215,0.9896524167703348,0.5033203363418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,216,0.9896524167703348,0.506542980670929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,217,0.9896524167703348,0.508984386920929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,218,0.9896524167703348,0.505078136920929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,219,0.9896524167703348,0.511914074420929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,220,0.9896524167703348,0.5108398199081421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,221,0.9896524167703348,0.510449230670929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,222,0.9896524167703348,0.5140625238418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,223,0.9896524167703348,0.5201171636581421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,224,0.9896524167703348,0.5218750238418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,225,0.9896524167703348,0.5184570550918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,226,0.9896524167703348,0.5186523199081421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,227,0.9896524167703348,0.5228515863418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,228,0.9896524167703348,0.522265613079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,229,0.9896524167703348,0.523632824420929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,230,0.9896524167703348,0.5179687738418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,231,0.9896524167703348,0.520703136920929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,232,0.9896524167703348,0.5224609375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,233,0.9896524167703348,0.5171874761581421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,234,0.9896524167703348,0.520214855670929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,235,0.9896524167703348,0.516894519329071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,236,0.9896524167703348,0.5215820074081421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,237,0.9896524167703348,0.525195300579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,238,0.9896524167703348,0.527636706829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,239,0.9896524167703348,0.521777331829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,240,0.9896524167703348,0.5184570550918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,241,0.9896524167703348,0.5204101800918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,242,0.9896524167703348,0.5230468511581421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,243,0.9896524167703348,0.5213867425918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,244,0.9896524167703348,0.5233398675918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,245,0.9896524167703348,0.5252929925918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,246,0.9896524167703348,0.526074230670929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,247,0.9896524167703348,0.523632824420929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,248,0.9896524167703348,0.5257812738418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,249,0.9896524167703348,0.523730456829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,250,0.9896524167703348,0.5194336175918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,251,0.9896524167703348,0.517871081829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,252,0.9896524167703348,0.525390625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,253,0.9896524167703348,0.52392578125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,254,0.9896524167703348,0.5240234136581421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,255,0.9896524167703348,0.522656261920929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,256,0.9896524167703348,0.526171863079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,257,0.9896524167703348,0.52783203125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,258,0.9896524167703348,0.530566394329071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,259,0.9896524167703348,0.52734375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,260,0.9896524167703348,0.5249999761581421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,261,0.9896524167703348,0.5223633050918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,262,0.9896524167703348,0.5248047113418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,263,0.9896524167703348,0.525390625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,264,0.9896524167703348,0.525683581829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,265,0.9896524167703348,0.529003918170929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,266,0.9896524167703348,0.530566394329071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,267,0.9896524167703348,0.5333007574081421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,268,0.9896524167703348,0.53515625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,269,0.9896524167703348,0.536816418170929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,270,0.9896524167703348,0.5357421636581421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,271,0.9896524167703348,0.5394531488418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,272,0.9896524167703348,0.5394531488418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,273,0.9896524167703348,0.5337890386581421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,274,0.9896524167703348,0.533886730670929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,275,0.9896524167703348,0.534960925579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,276,0.9896524167703348,0.5298827886581421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,277,0.9896524167703348,0.533984363079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,278,0.9896524167703348,0.5337890386581421
"[0.81, 0.81, 0.81, 0.71]",0.16,+,279,0.9896524167703348,0.5316406488418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,280,0.9896524167703348,0.5350586175918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,281,0.9896524167703348,0.5400390625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,282,0.9896524167703348,0.5389648675918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,283,0.9896524167703348,0.5350586175918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,284,0.9896524167703348,0.5361328125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,285,0.9896524167703348,0.53271484375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,286,0.9896524167703348,0.5404297113418579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,287,0.9896524167703348,0.5409179925918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,288,0.9896524167703348,0.5418945550918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,289,0.9896524167703348,0.539257824420929
"[0.81, 0.81, 0.81, 0.71]",0.16,+,290,0.9896524167703348,0.53662109375
"[0.81, 0.81, 0.81, 0.71]",0.16,+,291,0.9896524167703348,0.5321289300918579
"[0.81, 0.81, 0.81, 0.71]",0.16,+,292,0.9896524167703348,0.53564453125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,293,0.9896524167703348,0.5337890386581421
