prune_rate,compression,epochs,top_5,top_1
0.03,0.0192740214695874,30,0.999707043170929,0.97607421875
0.06,0.0386922170685692,30,0.999707043170929,0.975195288658142
0.63,0.4064474670665096,30,0.999804675579071,0.974804699420929
0.88,0.5618877748576795,30,0.999414086341858,0.974023461341858
1.0,0.6352229755892602,30,0.999804675579071,0.975683569908142
1.29,0.7966774042065892,30,0.999609351158142,0.975195288658142
1.41,0.8527158286717031,30,0.999609351158142,0.975390613079071
1.61,0.9125892849787034,30,0.999609351158142,0.973242163658142
1.82,0.9429976684983646,30,0.999218761920929,0.97021484375
1.92,0.9532381509461942,30,0.998828113079071,0.966992199420929
2.05,0.9636022112192189,30,0.99853515625,0.961621105670929
2.23,0.9741351611866766,30,0.997851550579071,0.951269507408142
2.65,0.9876504560021748,30,0.963281273841858,0.5537109375
3.61,0.9962885459833088,30,0.5082031488418579,0.11376953125
0.03,0.0192740214695874,30,0.999707043170929,0.97607421875
0.06,0.0386922170685692,30,0.999707043170929,0.975195288658142
0.63,0.4064474670665096,30,0.999804675579071,0.974804699420929
0.88,0.5618877748576795,30,0.999414086341858,0.974023461341858
1.0,0.6352229755892602,30,0.999804675579071,0.975683569908142
1.29,0.7966774042065892,30,0.999609351158142,0.975195288658142
1.41,0.8527158286717031,30,0.999609351158142,0.975390613079071
1.61,0.9125892849787034,30,0.999609351158142,0.973242163658142
1.82,0.9429976684983646,30,0.999218761920929,0.97021484375
1.92,0.9532381509461942,30,0.998828113079071,0.966992199420929
2.05,0.9636022112192189,30,0.99853515625,0.961621105670929
2.23,0.9741351611866766,30,0.997851550579071,0.951269507408142
2.65,0.9876504560021748,30,0.963281273841858,0.5537109375
3.61,0.9962885459833088,30,0.5082031488418579,0.11376953125
0.05,0.03243094059202017,30,0.999707043170929,0.9756835699081421
0.1,0.06449938623013486,30,0.999707043170929,0.9765625
2.8,0.990196159201193,30,0.95458984375,0.537304699420929
3.15,0.9940064754780402,30,0.5650390386581421,0.18271484971046448
3.29,0.9948879972977649,30,0.5082031488418579,0.11376953125
3.33,0.995135152948155,30,0.5082031488418579,0.11376953125
3.4,0.9954976479020604,30,0.5082031488418579,0.11376953125
3.45,0.9956953724223725,30,0.5082031488418579,0.11376953125
3.65,0.9964533164169022,30,0.5082031488418579,0.11376953125
3.7,0.9965480594162184,30,0.5082031488418579,0.11376953125
3.75,0.9966716372414134,30,0.5082031488418579,0.11376953125
3.9,0.9970176551519595,30,0.5082031488418579,0.11376953125
4.2,0.997404865670904,30,0.5082031488418579,0.11376953125
4.5,0.9976231864954153,30,0.5082031488418579,0.11376953125
5.2,0.9979444888409224,30,0.5082031488418579,0.11376953125
5.8,0.9980145162751995,30,0.5082031488418579,0.11376953125
6.0,0.9980309933185589,30,0.5082031488418579,0.11376953125
